,PMID,TITLE,File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),License
8966,28434944,Dose-dependent T-cell Dynamics and Cytokine Cascade Following rVSV-ZEBOV Immunization.,oa_package/89/7b/PMC5440606.tar.gz,EBioMedicine. 2017 Apr 5; 19:107-118,PMC5440606,4/2/2020 20:35,CC BY-NC-ND
8967,28222130,Dengue virus antibody database: Systematically linking serotype-specificity with epitope mapping in dengue virus.,oa_package/fc/c7/PMC5336305.tar.gz,PLoS Negl Trop Dis. 2017 Feb 21; 11(2):e0005395,PMC5336305,1/31/2019 17:56,CC0
8968,27930745,The Ebola Interferon Inhibiting Domains Attenuate and Dysregulate Cell-Mediated Immune Responses.,oa_package/40/d2/PMC5145241.tar.gz,PLoS Pathog. 2016 Dec 8; 12(12):e1006031,PMC5145241,1/31/2019 13:56,CC0
8969,27549017,"Rabbit hemorrhagic disease virus capsid, a versatile platform for foreign B-cell epitope display inducing protective humoral immune responses.",oa_package/e5/6d/PMC4994115.tar.gz,Sci Rep. 2016 Aug 23; 6:31844,PMC4994115,4/21/2020 20:35,CC BY
8970,27525369,Defining antigen-specific plasmablast and memory B cell subsets in human blood after viral infection or vaccination.,oa_package/79/33/PMC5054979.tar.gz,Nat Immunol. 2016 Oct 15; 17(10):1226-1234,PMC5054979,2/14/2017 19:08,NO-CC CODE
8971,27181584,Potent neutralizing monoclonal antibodies against Ebola virus infection.,oa_package/fc/da/PMC4867612.tar.gz,Sci Rep. 2016 May 16; 6:25856,PMC4867612,4/1/2020 20:34,CC BY
8972,26462910,Biomarkers of severe dengue disease - a review.,oa_package/ee/b2/PMC4604634.tar.gz,J Biomed Sci. 2015 Oct 14; 22:83,PMC4604634,4/1/2020 20:34,CC BY
8973,26355042,Facile Discovery of a Diverse Panel of Anti-Ebola Virus Antibodies by Immune Repertoire Mining.,oa_package/37/99/PMC4564727.tar.gz,Sci Rep. 2015 Sep 10; 5:13926,PMC4564727,6/12/2016 20:13,CC BY
8974,31354702,Innate-Like Lymphocytes Are Immediate Participants in the Hyper-Acute Immune Response to Trauma and Hemorrhagic Shock.,oa_package/92/1b/PMC6638190.tar.gz,Front Immunol. 2019 Jul 11; 10:1501,PMC6638190,7/30/2019 22:56,CC BY
8994,30149800,B cell subset alteration and the expression of tissue homing molecules in dengue infected patients.,oa_package/73/da/PMC6112127.tar.gz,J Biomed Sci. 2018 Aug 27; 25:64,PMC6112127,9/4/2018 20:04,CC BY
8996,28742087,Type 1-skewed neuroinflammation and vascular damage associated with Orientia tsutsugamushi infection in mice.,oa_package/46/41/PMC5542690.tar.gz,PLoS Negl Trop Dis. 2017 Jul 24; 11(7):e0005765,PMC5542690,8/12/2017 20:07,CC BY
8998,28442605,The Toll-Like Receptor 4 Antagonist Eritoran Protects Mice from Lethal Filovirus Challenge.,oa_package/3c/91/PMC5405229.tar.gz,mBio. 2017 Apr 25; 8(2):e00226-17,PMC5405229,4/1/2020 20:34,CC BY
8999,27835962,Soluble programmed cell death receptor-1 (sPD-1): a potential biomarker with anti-inflammatory properties in human and experimental acute respiratory distress syndrome (ARDS).,oa_package/ab/cc/PMC5106799.tar.gz,J Transl Med. 2016 Nov 11; 14:312,PMC5106799,11/22/2016 15:06,CC BY
9003,26986167,Disseminated Mycobacterium marinum Infection With a Destructive Nasal Lesion Mimicking Extranodal NK/T Cell Lymphoma: A Case Report.,oa_package/6c/bd/PMC4839948.tar.gz,Medicine (Baltimore). 2016 Mar 18; 95(11):e3131,PMC4839948,6/2/2016 20:08,CC BY-NC-ND
9004,26808410,Distribution of T Cells in Rainbow Trout (Oncorhynchus mykiss) Skin and Responsiveness to Viral Infection.,oa_package/e2/02/PMC4726708.tar.gz,PLoS One. 2016 Jan 25; 11(1):e0147477,PMC4726708,2/19/2019 17:56,CC BY
9005,26091359,Reverse-Phase Microarray Analysis Reveals Novel Targets in Lymph Nodes of Bacillus anthracis Spore-Challenged Mice.,oa_package/cd/ee/PMC4474663.tar.gz,PLoS One. 2015 Jun 19; 10(6):e0129860,PMC4474663,2/21/2019 15:56,CC BY
9006,25338079,Early immune responses in rainbow trout liver upon viral hemorrhagic septicemia virus (VHSV) infection.,oa_package/8c/9c/PMC4206492.tar.gz,PLoS One. 2014 Oct 22; 9(10):e111084,PMC4206492,4/1/2018 1:29,CC BY
9007,24468017,Yersinia pseudotuberculosis enterocolitis mimicking enteropathic γδ T-cell lymphoma with abnormal clonality.,oa_package/46/87/PMC3905907.tar.gz,BMC Infect Dis. 2014 Jan 27; 14:42,PMC3905907,9/27/2014 12:31,CC BY
9008,22558085,Lymphocyte modulation with FTY720 improves hemorrhagic shock survival in swine.,oa_package/ab/3e/PMC3340389.tar.gz,PLoS One. 2012 Apr 30; 7(4):e34224,PMC3340389,3/29/2018 20:31,CC0
9015,20957152,Human fatal zaire ebola virus infection is associated with an aberrant innate immunity and with massive lymphocyte apoptosis.,oa_package/e7/46/PMC2950153.tar.gz,PLoS Negl Trop Dis. 2010 Oct 5; 4(10):e837,PMC2950153,10/30/2017 11:19,CC BY
9017,20195062,Fatal cases of Theileria annulata infection in calves in Portugal associated with neoplastic-like lymphoid cell proliferation.,oa_package/37/7e/PMC2833427.tar.gz,J Vet Sci. 2010 Mar 3; 11(1):27-34,PMC2833427,4/7/2020 7:20,NO-CC CODE
9018,31875555,Molecular Signatures of Dengue Virus-Specific IL-10/IFN-γ Co-producing CD4 T Cells and Their Association with Dengue Disease.,oa_package/66/f7/PMC6942518.tar.gz,Cell Rep. 2019 Dec 24; 29(13):4482-4495.e4,PMC6942518,1/7/2020 19:56,CC BY-NC-ND
9020,31648236,Ebola virus-mediated T-lymphocyte depletion is the result of an abortive infection.,oa_package/f0/a1/PMC6812753.tar.gz,PLoS Pathog. 2019 Oct 24; 15(10):e1008068,PMC6812753,11/3/2019 19:17,CC BY
9023,31527918,Comparison of post-traumatic changes in circulating and bone marrow leukocytes between BALB/c and CD-1 mouse strains.,oa_package/46/96/PMC6748677.tar.gz,PLoS One. 2019 Sep 17; 14(9):e0222594,PMC6748677,9/27/2019 20:18,CC BY
9044,31517266,Predictors of Ischemic and Hemorrhagic Strokes Among People Living With HIV: The D:A:D International Prospective Multicohort Study.,oa_package/68/8c/PMC6737207.tar.gz,EClinicalMedicine. 2019 Aug 11; 13:91-100,PMC6737207,9/15/2019 20:17,CC BY-NC-ND
9046,31466243,A Single Dose of Modified Vaccinia Ankara Expressing Lassa Virus-like Particles Protects Mice from Lethal Intra-cerebral Virus Challenge.,oa_package/e6/d6/PMC6789566.tar.gz,Pathogens. 2019 Aug 28; 8(3):133,PMC6789566,4/2/2020 20:35,CC BY
9048,31244855,Cross-Reactive T Cell Immunity to Dengue and Zika Viruses: New Insights Into Vaccine Development.,oa_package/c9/49/PMC6579874.tar.gz,Front Immunol. 2019 Jun 11; 10:1316,PMC6579874,6/28/2019 20:16,CC BY
9050,30944836,Increased Expressions of OX40 and OX40 Ligand in Patients with Primary Immune Thrombocytopenia.,oa_package/89/0d/PMC6421740.tar.gz,J Immunol Res. 2019 Mar 3; 2019:6804806,PMC6421740,4/5/2019 16:56,CC BY
9052,30635091,T Lymphocytes as Measurable Targets of Protection and Vaccination Against Viral Disorders.,oa_package/f7/bf/PMC7104940.tar.gz,Int Rev Cell Mol Biol. 2019 Oct 24; 342:175-263,PMC7104940,6/4/2020 16:56,NO-CC CODE
9054,29867796,<i>Lutzomyia longipalpis</i> Saliva Drives Interleukin-17-Induced Neutrophil Recruitment Favoring <i>Leishmania infantum</i> Infection.,oa_package/ac/b9/PMC5953329.tar.gz,Front Microbiol. 2018 May 8; 9:881,PMC5953329,6/6/2018 23:36,CC BY
9056,29593715,Comparative Analysis of the Regulatory T Cells Dynamics in Peripheral Blood in Human and Porcine Polytrauma.,oa_package/82/89/PMC5859958.tar.gz,Front Immunol. 2018 Mar 13; 9:435,PMC5859958,4/22/2020 20:37,CC BY
9067,29435709,The prevalence and isolated subtypes of BK polyomavirus reactivation among patients infected with human immunodeficiency virus-1 in southeastern China.,oa_package/b2/1e/PMC5958166.tar.gz,Arch Virol. 2018 Feb 12; 163(6):1463-1468,PMC5958166,5/20/2018 22:05,CC BY
9068,29263271,Asian Elephant T Cell Responses to Elephant Endotheliotropic Herpesvirus.,oa_package/b9/9a/PMC5827410.tar.gz,J Virol. 2018 Feb 26; 92(6):e01951-17,PMC5827410,3/27/2018 16:56,CC BY
9069,29237401,Six-monthly appointment spacing for clinical visits as a model for retention in HIV Care in Conakry-Guinea: a cohort study.,oa_package/22/fd/PMC5729484.tar.gz,BMC Infect Dis. 2017 Dec 13; 17:766,PMC5729484,1/16/2019 17:56,CC BY
9070,28542576,Ebola virus glycoprotein directly triggers T lymphocyte death despite of the lack of infection.,oa_package/00/4b/PMC5456411.tar.gz,PLoS Pathog. 2017 May 22; 13(5):e1006397,PMC5456411,4/3/2020 20:35,CC0
9071,32418793,An effective CTL peptide vaccine for Ebola Zaire Based on Survivors' CD8+ targeting of a particular nucleocapsid protein epitope with potential implications for COVID-19 vaccine design.,oa_package/88/54/PMC7186210.tar.gz,Vaccine. 2020 Jun 9; 38(28):4464-4475,PMC7186210,6/4/2020 12:56,NO-CC CODE
9073,32005266,Design and synthesis of HLA-A*02-restricted Hantaan virus multiple-antigenic peptide for CD8<sup>+</sup> T cells.,oa_package/68/15/PMC6995102.tar.gz,Virol J. 2020 Jan 31; 17:15,PMC6995102,2/4/2020 19:36,CC BY
9075,31775024,Characterization of Antigenic MHC-Class-I-Restricted T Cell Epitopes in the Glycoprotein of Ebolavirus.,oa_package/56/b1/PMC6899439.tar.gz,Cell Rep. 2019 Nov 26; 29(9):2537-2545.e3,PMC6899439,4/1/2020 20:34,CC BY
9076,31725732,Mechanisms of African swine fever virus pathogenesis and immune evasion inferred from gene expression changes in infected swine macrophages.,oa_package/fe/31/PMC6855437.tar.gz,PLoS One. 2019 Nov 14; 14(11):e0223955,PMC6855437,4/2/2020 20:35,CC0
9077,30729137,Functionalisation of Virus-Like Particles Enhances Antitumour Immune Responses.,oa_package/fe/50/PMC6341245.tar.gz,J Immunol Res. 2019 Jan 8; 2019:5364632,PMC6341245,2/8/2019 17:56,CC BY
9078,30663801,Innate and adaptive immune responses against human Puumala virus infection: immunopathogenesis and suggestions for novel treatment strategies for severe hantavirus-associated syndromes.,oa_package/44/fd/PMC6850289.tar.gz,J Intern Med. 2019 May 17; 285(5):510-523,PMC6850289,2/6/2020 9:56,CC BY
9079,30559738,Hantavirus-Driven PD-L1/PD-L2 Upregulation: An Imperfect Viral Immune Evasion Mechanism.,oa_package/da/20/PMC6287426.tar.gz,Front Immunol. 2018 Dec 3; 9:2560,PMC6287426,12/19/2018 15:55,CC BY
9080,29872043,An adenovirus serotype 2-vectored ebolavirus vaccine generates robust antibody and cell-mediated immune responses in mice and rhesus macaques.,oa_package/d9/4b/PMC5988821.tar.gz,Emerg Microbes Infect. 2018 Jun 6; 7:101,PMC5988821,4/1/2020 20:34,CC BY
9081,30650570,Clinical Characterization of Host Response to Simian Hemorrhagic Fever Virus Infection in Permissive and Refractory Hosts: A Model for Determining Mechanisms of VHF Pathogenesis.,oa_package/27/cc/PMC6356329.tar.gz,Viruses. 2019 Jan 15; 11(1):67,PMC6356329,2/5/2019 19:31,CC BY
9082,26316484,Presence of Essential Hypertension or Diabetes Mellitus Is a Predictor of Intracranial Bleeding in Elderly Patients: A Study of 108 Patients with Isolated Thrombocytopenia from a Single Reference Center.,oa_package/e1/81/PMC4451484.tar.gz,Turk J Haematol. 2015 Jun 8; 32(2):158-162,PMC4451484,1/20/2016 19:07,CC BY
9083,30002598,Complement C5a Alters the Membrane Potential of Neutrophils during Hemorrhagic Shock.,oa_package/c7/44/PMC5996468.tar.gz,Mediators Inflamm. 2018 May 29; 2018:2052356,PMC5996468,7/14/2018 20:10,CC BY
9090,28332617,"Molecular epidemiology of acute hemorrhagic conjunctivitis caused by coxsackie A type 24 variant in China, 2004-2014.",oa_package/66/1f/PMC5362916.tar.gz,Sci Rep. 2017 Mar 23; 7:45202,PMC5362916,3/24/2017 22:11,CC BY
9091,19707565,Alternative complement pathway deregulation is correlated with dengue severity.,oa_package/79/75/PMC2728508.tar.gz,PLoS One. 2009 Aug 26; 4(8):e6782,PMC2728508,1/22/2019 13:56,CC BY
9092,31455867,Revisiting the genetic diversity of emerging hantaviruses circulating in Europe using a pan-viral resequencing microarray.,oa_package/14/eb/PMC6712034.tar.gz,Sci Rep. 2019 Aug 27; 9:12404,PMC6712034,9/13/2019 20:18,CC BY
9093,28465576,Paper-based RNA detection and multiplexed analysis for Ebola virus diagnostics.,oa_package/2b/66/PMC5431003.tar.gz,Sci Rep. 2017 May 2; 7:1347,PMC5431003,5/16/2017 20:08,CC BY
9094,26404403,"Optofluidic analysis system for amplification-free, direct detection of Ebola infection.",oa_package/ab/f9/PMC4585921.tar.gz,Sci Rep. 2015 Sep 25; 5:14494,PMC4585921,4/1/2020 20:34,CC BY
9095,25806872,The application of biomedical engineering techniques to the diagnosis and management of tropical diseases: a review.,oa_package/98/69/PMC4435123.tar.gz,Sensors (Basel). 2015 Mar 23; 15(3):6947-6995,PMC4435123,4/5/2020 20:34,CC BY
9096,22347483,Plasma cell-free DNA levels are elevated in acute Puumala hantavirus infection.,oa_package/5a/2e/PMC3274523.tar.gz,PLoS One. 2012 Feb 7; 7(2):e31455,PMC3274523,4/22/2020 20:37,CC BY
9097,21764776,ChIP-seq reveals cell type-specific binding patterns of BMP-specific Smads and a novel binding motif.,oa_package/eb/16/PMC3203580.tar.gz,Nucleic Acids Res. 2011 Nov 15; 39(20):8712-8727,PMC3203580,3/30/2014 22:07,CC BY-NC
9098,19857255,Exploring the molecular basis of insecticide resistance in the dengue vector Aedes aegypti: a case study in Martinique Island (French West Indies).,oa_package/d7/b3/PMC2770535.tar.gz,BMC Genomics. 2009 Oct 26; 10:494,PMC2770535,4/23/2014 22:30,CC BY
9099,32384894,Factors associated with health related quality of life of patients with stroke in Sri Lankan context.,oa_package/1d/1d/PMC7206769.tar.gz,Health Qual Life Outcomes. 2020 May 8; 18:129,PMC7206769,5/14/2020 20:37,CC BY
9102,31528015,"Serological, clinical, and risk factors of the Newcastle disease on broilers flocks in Algeria.",oa_package/d2/60/PMC6702548.tar.gz,Vet World. 2019 Jul 2; 12(7):938-944,PMC6702548,4/27/2020 12:56,CC BY
9103,31096434,Measuring of quality of care in patients with stroke and acute myocardial infarction: An application of algebra effectiveness model.,oa_package/fb/ec/PMC6531128.tar.gz,Medicine (Baltimore). 2019 May 17; 98(20):e15353,PMC6531128,6/25/2019 20:17,CC BY
9104,29930871,Stenotic changes of the posterior cerebral artery are a major contributing factor for cerebral infarction in moyamoya disease.,oa_package/0b/a1/PMC5991280.tar.gz,Surg Neurol Int. 2018 May 24; 9:105,PMC5991280,6/23/2018 21:37,CC BY-NC-SA
9105,29560319,Crossed Cerebellar Diaschisis: Risk Factors and Correlation to Functional Recovery in Intracerebral Hemorrhage.,oa_package/6b/02/PMC5852233.tar.gz,Ann Rehabil Med. 2018 Feb 28; 42(1):8-17,PMC5852233,3/30/2018 2:47,CC BY-NC
9106,29212551,Extracorporeal membrane oxygenation for life-threatening asthma refractory to mechanical ventilation: analysis of the Extracorporeal Life Support Organization registry.,oa_package/91/93/PMC5719729.tar.gz,Crit Care. 2017 Dec 6; 21:297,PMC5719729,12/12/2017 7:52,CC BY
9108,28717529,Daily Variation in the Occurrence of Different Subtypes of Stroke.,oa_package/23/15/PMC5498966.tar.gz,Stroke Res Treat. 2017 Jun 22; 2017:9091250,PMC5498966,7/21/2017 4:34,CC BY
9109,26991501,Transforming Clinical Data into Actionable Prognosis Models: Machine-Learning Framework and Field-Deployable App to Predict Outcome of Ebola Patients.,oa_package/93/2b/PMC4798608.tar.gz,PLoS Negl Trop Dis. 2016 Mar 18; 10(3):e0004549,PMC4798608,2/1/2019 13:56,CC BY
9110,25759654,A case of post-radiotherapy gastritis: radiation does not explain everything.,oa_package/5a/30/PMC4327546.tar.gz,Case Rep Oncol. 2015 Jan 14; 8(1):9-14,PMC4327546,7/22/2015 20:13,CC BY-NC
9111,32148951,Body Mass Index and 1-Year Unplanned Readmission in Chinese Patients with Acute Myocardial Infarction: A Retrospective Cohort Study.,oa_package/04/99/PMC7049439.tar.gz,Cardiol Res Pract. 2020 Feb 18; 2020:4158209,PMC7049439,3/10/2020 22:56,CC BY
9112,31623557,A case report on lipofuscin deposition in a graft biopsy two years after kidney transplantation: an insignificant bystander or a pathogenic benefactor?,oa_package/49/73/PMC6798339.tar.gz,BMC Nephrol. 2019 Oct 17; 20:376,PMC6798339,10/21/2019 20:24,CC BY
9115,31492970,Real-world outcomes of rivaroxaban treatment in elderly Japanese patients with nonvalvular atrial fibrillation.,oa_package/99/3a/PMC7026217.tar.gz,Heart Vessels. 2020 Sep 6; 35(3):399-408,PMC7026217,3/2/2020 19:37,CC BY
9116,31464657,Unexpected excessive apixaban exposure: case report of a patient with polymorphisms of multiple apixaban elimination pathways.,oa_package/fc/e4/PMC6716843.tar.gz,BMC Pharmacol Toxicol. 2019 Aug 29; 20:53,PMC6716843,9/4/2019 20:18,CC BY
9117,31438470,Glycoprotein YKL-40 Is Elevated and Predicts Disease Severity in Puumala Hantavirus Infection.,oa_package/86/33/PMC6784349.tar.gz,Viruses. 2019 Aug 21; 11(9):767,PMC6784349,4/17/2020 20:37,CC BY
9119,31019927,Monotypic IgG1-kappa Atypical Anti-Glomerular Basement Membrane Nephritis: A Case Report.,oa_package/72/52/PMC6465719.tar.gz,Case Rep Nephrol Dial. 2019 Feb 28; 9(1):8-14,PMC6465719,4/26/2019 18:56,CC BY-NC
9120,31699105,"Patient with severe fever with thrombocytopenia syndrome virus infection and central nervous system disturbance in Dongyang, Zhejiang Province, China, 2017.",oa_package/d9/50/PMC6836506.tar.gz,Virol J. 2019 Nov 7; 16:129,PMC6836506,11/12/2019 19:17,CC BY
9124,30914063,Comparison of statins for secondary prevention in patients with ischemic stroke or transient ischemic attack: a systematic review and network meta-analysis.,oa_package/91/09/PMC6436237.tar.gz,BMC Med. 2019 Mar 26; 17:67,PMC6436237,4/10/2019 20:19,CC BY
9125,29486726,Concurrent methicillin-resistant Staphylococcus aureus septicemia and pyomyositis in a patient with dengue hemorrhagic fever: a case report.,oa_package/85/62/PMC5830346.tar.gz,BMC Infect Dis. 2018 Feb 27; 18:99,PMC5830346,3/5/2018 19:08,CC BY
9126,32193903,Clinical Score System to Differentiate Severe Fever with Thrombocytopenia Syndrome Patients from Patients with Scrub Typhus or Hemorrhagic Fever with Renal Syndrome in Korea.,oa_package/fc/8f/PMC7086083.tar.gz,J Korean Med Sci. 2020 Feb 12; 35(11):e77,PMC7086083,3/29/2020 20:34,CC BY-NC
9128,31814936,Association between high sensitivity C-reactive protein (hs-CRP) levels and the risk of major adverse cardiovascular events (MACE) and/or microembolic signals after carotid angioplasty and stenting.,oa_package/1c/31/PMC6856919.tar.gz,Caspian J Intern Med. 2019 Autumn; 10(4):388-395,PMC6856919,12/10/2019 19:56,CC BY
9131,31360559,An Atypical Case of Rickettsial Spotted Fever Myocarditis Mimicking Weil's Disease.,oa_package/5c/36/PMC6644265.tar.gz,Case Rep Infect Dis. 2019 Jul 8; 2019:9620245,PMC6644265,7/31/2019 18:56,CC BY
9133,31329573,Surgical Repair of Small Bowel Fistulas: Risk Factors of Complications or Fistula Recurrence.,oa_package/f1/f8/PMC6668489.tar.gz,Med Sci Monit. 2019 Jul 22; 25:5445-5452,PMC6668489,8/16/2019 20:17,CC BY-NC-ND
9134,31073707,Laparoscopic omentectomy in primary torsion of the greater omentum: report of a case.,oa_package/c2/16/PMC6509293.tar.gz,Surg Case Rep. 2019 May 9; 5:76,PMC6509293,5/28/2019 20:18,CC BY
9138,30845781,Targetoid Skin Lesions in a Child: Acute Hemorrhagic Oedema of Infancy and Its Differential Diagnosis.,oa_package/fa/f6/PMC6427215.tar.gz,Int J Environ Res Public Health. 2019 Mar 6; 16(5):823,PMC6427215,4/10/2019 20:19,CC BY
9140,30613458,Inflammatory Markers and Severity of Intracerebral Hemorrhage.,oa_package/c1/e3/PMC6314395.tar.gz,Cureus.; 10(10):e3529,PMC6314395,1/8/2019 19:20,CC BY
9145,30517161,High plasma resistin associates with severe acute kidney injury in Puumala hantavirus infection.,oa_package/cf/10/PMC6281250.tar.gz,PLoS One. 2018 Dec 5; 13(12):e0208017,PMC6281250,12/20/2018 19:18,CC BY
9147,30371339,Comparison of Cardiovascular Risk Factors for Coronary Heart Disease and Stroke Type in Women.,oa_package/2d/e9/PMC6404882.tar.gz,J Am Heart Assoc. 2018 Sep 29; 7(19):e007514,PMC6404882,3/19/2019 20:19,CC BY-NC
9148,30293532,"The first case of thrombocytopenia, anasarca, fever, renal impairment or reticulin fibrosis, and organomegaly (TAFRO) syndrome with unilateral adrenal necrosis: a case report.",oa_package/30/e7/PMC6174561.tar.gz,J Med Case Rep. 2018 Oct 8; 12:295,PMC6174561,10/18/2018 20:04,CC BY
9149,30116534,Rare and unusual case of anti-factor XI antibodies in patient with plasma cell leukemia.,oa_package/ac/17/PMC6086047.tar.gz,BMC Hematol. 2018 Aug 10; 18:18,PMC6086047,8/18/2018 20:45,CC BY
9151,29951057,The Clinical Significance and Potential Role of C-Reactive Protein in Chronic Inflammatory and Neurodegenerative Diseases.,oa_package/c7/e2/PMC6008573.tar.gz,Front Immunol. 2018 Jun 7; 9:1302,PMC6008573,6/29/2018 16:17,CC BY
9153,29724249,Crimean-Congo hemorrhagic fever with hepatic impairment and vaginal hemorrhage: a case report.,oa_package/c0/15/PMC5934873.tar.gz,J Med Case Rep. 2018 May 4; 12:118,PMC5934873,4/28/2020 20:35,CC BY
9154,32454916,Risk Factors Associated with Fatal Dengue Hemorrhagic Fever in Adults: A Case Control Study.,oa_package/09/9d/PMC7222550.tar.gz,Can J Infect Dis Med Microbiol. 2020 Apr 30; 2020:1042976,PMC7222550,5/27/2020 20:56,CC BY
9166,32346454,[Urticaria in children].,oa_package/11/7b/PMC7185918.tar.gz,Rev Fr Allergol (2009). 2020 Apr 27; doi: 10.1016/j.reval.2020.02.239,PMC7185918,5/5/2020 10:56,NO-CC CODE
9167,30546909,"Efficacy of SMTP-7, a small-molecule anti-inflammatory thrombolytic, in embolic stroke in monkeys.",oa_package/1a/4a/PMC6282002.tar.gz,Pharmacol Res Perspect. 2018 Dec 5; 6(6):e00448,PMC6282002,12/14/2018 15:55,CC BY
9168,29791494,Sequential assessment of clinical and laboratory parameters in patients with hemorrhagic fever with renal syndrome.,oa_package/79/41/PMC5965875.tar.gz,PLoS One. 2018 May 23; 13(5):e0197661,PMC5965875,6/2/2018 20:07,CC BY
9171,29681929,Efficacy and Safety of Argon Plasma Coagulation for Hemorrhagic Chronic Radiation Proctopathy: A Systematic Review.,oa_package/f1/fa/PMC5845516.tar.gz,Gastroenterol Res Pract. 2018 Feb 25; 2018:3087603,PMC5845516,4/24/2018 19:58,CC BY
9172,30746380,Considerations for routine coagulation monitoring with rivaroxaban: A case report and review of the literature.,oa_package/b7/52/PMC6369389.tar.gz,World J Clin Cases. 2019 Feb 6; 7(3):382-388,PMC6369389,2/13/2019 15:56,CC BY-NC
9173,30404926,Novel Factor XIII variant identified through whole-genome sequencing in a child with intracranial hemorrhage.,oa_package/94/53/PMC6318776.tar.gz,Cold Spring Harb Mol Case Stud. 2018 Dec; 4(6):a003525,PMC6318776,1/13/2019 19:18,CC BY-NC
9174,29766129,Is thromboelastography (TEG)-based resuscitation better than empirical 1:1 transfusion?,oa_package/f9/56/PMC5887764.tar.gz,Trauma Surg Acute Care Open. 2018 Jan 8; 3(1):e000140,PMC5887764,5/17/2018 15:59,CC BY-NC
9180,29381944,"Hemorrhagic pericardial effusion as the debut of acquired hemophilia in a chronic lymphocytic leukemia patient: A case report, and a review of acquired hemophilia A-related hematological malignancies.",oa_package/12/ff/PMC5708943.tar.gz,Medicine (Baltimore). 2017 Nov 27; 96(47):e8669,PMC5708943,2/1/2018 17:39,CC BY-NC-ND
9181,28288507,Anticoagulation in cirrhosis: a new paradigm?,oa_package/0f/a5/PMC5381832.tar.gz,Clin Mol Hepatol. 2017 Mar 14; 23(1):13-21,PMC5381832,4/6/2017 20:08,CC BY-NC
9182,32098865,Complement factor I deficiency: A potentially treatable cause of fulminant cerebral inflammation.,oa_package/79/df/PMC7051217.tar.gz,Neurol Neuroimmunol Neuroinflamm. 2020 Feb 25; 7(3):e689,PMC7051217,3/13/2020 20:37,CC BY
9184,31646967,Analysis of misdiagnosed cases of hemorrhagic fever with renal syndrome in children: two cases and literature review.,oa_package/04/58/PMC6813044.tar.gz,BMC Nephrol. 2019 Oct 23; 20:383,PMC6813044,10/30/2019 20:18,CC BY
9186,31607883,Concurrence of Acrodermatitis Enteropathica and Eczema Herpeticum in a Child with Atopic Dermatitis.,oa_package/83/ef/PMC6787433.tar.gz,Case Rep Dermatol. 2019 Sep 10; 11(3):240-248,PMC6787433,10/15/2019 22:56,CC BY-NC
9190,31484578,Evaluation of the performance of the National Tuberculosis Program of Liberia during the 2014-2015 Ebola outbreak.,oa_package/00/07/PMC6806576.tar.gz,BMC Public Health. 2019 Sep 4; 19:1221,PMC6806576,4/1/2020 20:34,CC BY
9191,31409688,Development of a Gold Nanoparticle Vaccine against Enterohemorrhagic Escherichia coli O157:H7.,oa_package/f2/d1/PMC6692519.tar.gz,mBio. 2019 Aug 13; 10(4):e01869-19,PMC6692519,2/24/2020 21:56,CC BY
9193,31395053,Improving drug safety in hospitals: a retrospective study on the potential of adverse drug events coded in routine data.,oa_package/76/c5/PMC6688299.tar.gz,BMC Health Serv Res. 2019 Aug 8; 19:555,PMC6688299,8/14/2019 20:17,CC BY
9194,31392305,Animal models of acute gastric mucosal injury: Macroscopic and microscopic evaluation.,oa_package/fe/6e/PMC6600656.tar.gz,Animal Model Exp Med. 2019 Apr 5; 2(2):121-126,PMC6600656,8/9/2019 20:17,CC BY-NC-ND
9195,31324030,Integrated Transcriptomic and Proteomic Analysis of Red Blood Cells from Rainbow Trout Challenged with VHSV Point Towards Novel Immunomodulant Targets.,oa_package/f1/0e/PMC6789484.tar.gz,Vaccines (Basel). 2019 Jul 9; 7(3):63,PMC6789484,10/16/2019 20:18,CC BY
9196,31130967,Corrigendum: Targeting Complement Pathways in Polytrauma- and Sepsis-Induced Multiple-Organ Dysfunction.,oa_package/83/33/PMC6509637.tar.gz,Front Immunol. 2019 May 3; 10:994,PMC6509637,5/28/2019 20:56,CC BY
9205,30949180,Targeting Complement Pathways in Polytrauma- and Sepsis-Induced Multiple-Organ Dysfunction.,oa_package/d5/05/PMC6437067.tar.gz,Front Immunol. 2019 Mar 21; 10:543,PMC6437067,5/29/2019 20:17,CC BY
9216,30841911,Seasonal variation in equine follicular fluid proteome.,oa_package/aa/7a/PMC6404268.tar.gz,Reprod Biol Endocrinol. 2019 Mar 6; 17:29,PMC6404268,3/18/2019 20:56,CC BY
9217,30656274,Hereditary angioedema: Linking complement regulation to the coagulation system.,oa_package/22/4f/PMC6332742.tar.gz,Res Pract Thromb Haemost. 2018 Dec 16; 3(1):38-43,PMC6332742,1/19/2019 19:56,CC BY-NC-ND
9218,30654482,Phylodynamic Analysis of Ebola Virus Disease Transmission in Sierra Leone.,oa_package/e1/67/PMC6356631.tar.gz,Viruses. 2019 Jan 16; 11(1):71,PMC6356631,4/8/2020 20:35,CC BY
9219,30634669,Complement Activation Contributes to the Pathophysiology of Shiga Toxin-Associated Hemolytic Uremic Syndrome.,oa_package/40/d7/PMC6352217.tar.gz,Microorganisms. 2019 Jan 10; 7(1):15,PMC6352217,2/6/2020 9:56,CC BY
